BS,CellName,load,ESMode1,ESMode2,ESMode3,ESMode5,ESMode6,Year_x,Month,Day,Hour,Minute_x,Energy,RUType,Mode,Frequency,Bandwidth,Antennas,TXpower
B_0,Cell0,0.344468085,0.0,0.0,0.0,0.0,0.0,2023,1,1,2,0,55.90433483,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.193765957,0.0,0.0,0.0,0.0,0.0,2023,1,1,3,0,57.6980568,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.222382979,0.0,0.0,0.0,0.0,0.0,2023,1,1,4,0,55.15695067,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.17543617,0.0,0.0,0.0,0.0,0.0,2023,1,1,5,0,56.05381166,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.18987234,0.0,0.0,0.0,0.0,0.0,2023,1,1,6,0,69.50672646,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.351585106,0.0,0.0,0.0,0.0,0.0,2023,1,1,7,0,82.95964126,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.759297872,0.0,0.0,0.0,0.0,0.0,2023,1,1,8,0,91.03139013,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.887797872,0.0,0.0,0.0,0.0,0.0,2023,1,1,9,0,78.17638266,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.624744681,0.0,0.0,0.0,0.0,0.0,2023,1,1,10,0,72.64573991,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.522095745,0.0,0.0,0.0,0.0,0.0,2023,1,1,11,0,71.1509716,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.439968085,0.0,0.0,0.0,0.0,0.0,2023,1,1,12,0,69.65620329000001,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
B_0,Cell0,0.482723404,0.0,0.0,0.0,0.0,0.0,2023,1,1,13,0,68.16143498,Type1,Mode2,0.2540035274224343,1.0,0.047619047619047616,0.49922619935161183
